Author,Titles,Plot,Spice,Tropes & Themes,Kindle Unlimited,Notes
,Reverse (Bittersweet Symphony #2),⭐⭐⭐⭐⭐,🌶️🌶️🌶️,Forbidden Love,TRUE,
,Flock (The Ravenhood #1),⭐⭐⭐,🌶️🌶️🌶️🌶️,Forced Proximity,FALSE,dark
,Exodus (The Ravenhood #2),⭐⭐⭐⭐,🌶️🌶️🌶️🌶️,Enemies to Lovers,FALSE,dark
,The Finish Line (The Ravenhood #3),⭐⭐⭐,🌶️🌶️🌶️🌶️,Enemies to Lovers,FALSE,dark
C. M. Stunich,Devils' Day Party,⭐⭐⭐⭐,🌶️🌶️🌶️,"Reverse Harem, Bully Romance",TRUE,dark
Sabaa Tahir,An Ember in the Ashes (An Ember in the Ashes #1),⭐⭐⭐⭐,🌶️,,FALSE,
,A Torch Against the Night (An Ember in the Ashes #2),⭐⭐⭐,🌶️,,FALSE,
Shantel Tessier,The Ritual,⭐⭐,🌶️🌶️🌶️,,TRUE,dark
Laura Thalassa,Rhapsodic (The Bargainer #1),⭐⭐⭐,🌶️,Fantasy,FALSE,
,A Strange Hymn (The Bargainer #2),⭐⭐⭐,🌶️🌶️,,FALSE,
Sally Thorne,The Hating Game,⭐⭐⭐⭐,🌶️,"Enemies to Lovers, Classic Romance",FALSE,
Liz Tomforde,Mile High (Windy City #1),⭐⭐⭐⭐,🌶️🌶️,"Sports Romance, Forbidden Love",TRUE,
,The Right Move (Windy City #2),⭐⭐⭐⭐,🌶️🌶️,"Sports Romance, Best Friend's Brother",TRUE,
Lilith Vincent,Brutal Intentions,⭐⭐,🌶️🌶️,"Mafia, Taboo",TRUE,dark
Chloe Walsh,Binding 13 (Boys of Tommen #1),⭐⭐⭐⭐⭐,🌶️,,FALSE,
,Keeping 13 (Boys of Tommen #2),⭐⭐⭐⭐⭐,🌶️,,FALSE,
,Saving 6 (Boys of Tommen #3),⭐⭐⭐⭐⭐,🌶️,,FALSE,"loads of spelling & grammar mistakes, but if you read her backstory you understand why"
,Redeeming 6 (Boys of Tommen #4),⭐⭐⭐⭐⭐,🌶️,,FALSE,"same here with the mistakes, but like heavy shit"
Jade West,Bait,⭐⭐⭐,🌶️🌶️🌶️,,TRUE,dark
Clarissa Wild,Sick Boys,⭐⭐⭐,🌶️🌶️🌶️,Reverse Harem,TRUE,dark
Jessa Wilder,Rule Number Five,⭐⭐⭐⭐,🌶️🌶️,Sports Romance,TRUE,
Krista Wolf,Protecting Dallas,⭐⭐⭐,🌶️🌶️🌶️,Reverse Harem,TRUE,
Harper L. Woods,What Lies Beyond the Veil (Of Flesh & Bone #1),⭐⭐⭐,🌶️,Fantasy,FALSE,
,What Hunts Inside the Shadows (Of Flesh & Bone #2),⭐⭐⭐,🌶️,,FALSE,
,What Lurks Between the Fates (Of Flesh & Bone #3),⭐⭐⭐,🌶️,,FALSE,
,What Sleeps Within the Cove (Of Flesh & Bone #4),??,??,,FALSE,
Samantha Young,On Dublin Street (On Dublin Street #1),⭐⭐⭐⭐,🌶️🌶️,,FALSE,"get your scottish man fix here. the story could be better, but we love him"
Mariana Zapata,The Wall of Winnipeg and Me,⭐⭐⭐⭐,🌶️,"Grumpy Sunshine, Fake Dating, Sports Romance",FALSE,never thought i would love a slow burn until this author. that's why only 1 spicy though
,From Lukov with Love,⭐⭐⭐⭐⭐,🌶️,"Forced Proximity, Sports Romance",TRUE,
,Kulti,⭐⭐⭐⭐,🌶️,"Taboo Romance, Sports Romance",TRUE,
,All Rhodes Lead Here,⭐⭐⭐⭐,🌶️,Forced Proximity,FALSE,
,Wait For It,⭐⭐⭐⭐⭐,🌶️,Grumpy Sunshine,TRUE,
,Under Locke,⭐⭐⭐⭐,🌶️,,TRUE,
,Luna and the Lie,⭐⭐⭐⭐⭐,🌶️,,TRUE,
,Hands Down,⭐⭐⭐⭐,🌶️,Sports Romance,TRUE,
,When Gracie Met the Grump,⭐⭐⭐,🌶️,,TRUE,
